,Bintang,Pengguna,Komen,Tanggal
502,Rated 5 stars out of five stars,Indah Subiaktuti,Sangat memuaskan,"December 31, 2019"
503,Rated 5 stars out of five stars,Novika Dewi,Recomen banget,"December 20, 2019"
504,Rated 5 stars out of five stars,Devia Marina,Mantap bener,"January 9, 2020"
505,Rated 5 stars out of five stars,wenita Indrasari,Reliable! Thanks🤗,"January 8, 2020"
506,Rated 5 stars out of five stars,Ben-Yada Remals,Great job!,"December 18, 2019"
507,Rated 5 stars out of five stars,Fay Fay,Great app!!,"December 19, 2019"
508,Rated 5 stars out of five stars,Mama Jasmine,Aplikasinya helpfull bgt,"December 26, 2019"
509,Rated 5 stars out of five stars,soto betawi,nicw,"January 15, 2020"
510,Rated 5 stars out of five stars,Notarisgetri permatasari,Kerem,"December 10, 2019"
511,Rated 5 stars out of five stars,Mac Mc,Oke,"December 15, 2019"
512,Rated 5 stars out of five stars,Intan Aulia,Bagus,"December 18, 2019"
513,Rated 5 stars out of five stars,Nisrina Zerlinda,Manteppppppp,"December 31, 2019"
514,Rated 4 stars out of five stars,Frissia Chicha,Ok,"December 28, 2019"
515,Rated 5 stars out of five stars,My Dolanan,Gooooodddd,"January 5, 2020"
516,Rated 5 stars out of five stars,wanti annurria,Oke,"January 3, 2020"
517,Rated 5 stars out of five stars,Ingrid Tjong,Mantapp,"January 4, 2020"
518,Rated 3 stars out of five stars,Bela Kimyastutik,Ggggg,"January 10, 2020"
519,Rated 5 stars out of five stars,dian kono,Ok,"January 9, 2020"
520,Rated 5 stars out of five stars,Viola Saragi,Ok,"January 12, 2020"
521,Rated 5 stars out of five stars,mudrik nazari,Ok,"January 13, 2020"
522,Rated 5 stars out of five stars,Yuftara rosyana,Good quality 👍👍,"December 5, 2019"
523,Rated 5 stars out of five stars,Aley Sha,awesome!!,"January 25, 2020"
524,Rated 5 stars out of five stars,puji andaru seno,Great!!!,"January 2, 2020"
525,Rated 4 stars out of five stars,Tiya Inggriyani,👍,"January 4, 2020"
526,Rated 5 stars out of five stars,Fauziah Assegaff,great application,"December 9, 2019"
527,Rated 5 stars out of five stars,muhammad halilintar,very good,"December 13, 2019"
528,Rated 5 stars out of five stars,Dwi JSanadji,Great Service,"December 20, 2019"
529,Rated 5 stars out of five stars,Mohamad Fahrurozi,Helpfull apps,"December 17, 2019"
530,Rated 5 stars out of five stars,Sarmad Aliqabi,Its better,"December 25, 2019"
531,Rated 5 stars out of five stars,Bukti Siregar,great app,"December 29, 2019"
532,Rated 5 stars out of five stars,Vandu Wijaya,Good service,"December 19, 2019"
533,Rated 5 stars out of five stars,Daniel Youviansa,Nice app,"January 2, 2020"
534,Rated 5 stars out of five stars,Elisabet Ningsih,Very satisfying,"January 3, 2020"
535,Rated 5 stars out of five stars,Dicky Santoso,Good service,"January 14, 2020"
536,Rated 5 stars out of five stars,Ayuningtyas Kusumawati,Good app,"January 27, 2020"
537,Rated 5 stars out of five stars,dian anggraini,Good app,"February 2, 2020"
538,Rated 5 stars out of five stars,Jiejie R,Good.,"January 28, 2020"
539,Rated 4 stars out of five stars,Chrissyllia Untung,Niceeee,"November 27, 2019"
540,Rated 5 stars out of five stars,Sisca Christ,Love it,"December 3, 2019"
541,Rated 5 stars out of five stars,HasaN CHAIRULLAH,Nice,"December 8, 2019"
542,Rated 5 stars out of five stars,wiendy andriani,Great,"December 11, 2019"
543,Rated 5 stars out of five stars,Jul Hussein,good,"December 13, 2019"
544,Rated 5 stars out of five stars,Iman Santoso,Reliable,"December 16, 2019"
545,Rated 5 stars out of five stars,Dian Sardini,Good,"December 16, 2019"
546,Rated 5 stars out of five stars,Sari Cresentya,good,"December 19, 2019"
547,Rated 5 stars out of five stars,Niken Widyastuti,Good,"December 25, 2019"
548,Rated 5 stars out of five stars,Ratih Wija,Good,"December 25, 2019"
549,Rated 5 stars out of five stars,Ike Riandari,Amazing,"December 21, 2019"
550,Rated 5 stars out of five stars,Ocnova Kaawoan,Good,"January 8, 2020"
551,Rated 5 stars out of five stars,Juli Setyawan,Good,"January 13, 2020"
552,Rated 4 stars out of five stars,Qonita Lillah,Great,"January 9, 2020"
553,Rated 5 stars out of five stars,欧菲菲Fifi,Great,"January 15, 2020"
554,Rated 4 stars out of five stars,atika soraya,Good,"January 20, 2020"
555,Rated 5 stars out of five stars,Gaby Lumbantoruan,"Pertama kali belanja dapet free Mango..super enak, buahnya fresh semua, packaging lucuk pake paper bag yang nggak gampang sobek..free ongkir belanja 100 rb...sering2 promo dongs ya 👌🤗","November 27, 2019"
556,Rated 5 stars out of five stars,utami octavianne,"Tolong diperluas dong untuk wilayahnya di bagian bekasi masukkan cikarang utara, saya sebagai mahasiswi yang tinggal di asrama sangat membutuhkan aplikasi ini","November 27, 2019"
557,Rated 5 stars out of five stars,Dieni Septiani,"Udah kali ke2 belanja di sayurbox, alhamdulilah puas sama belanjaannya.. bagus2 maa syaa Allah.. semoga semakin baik lagi kedepan.. Aamiin Ya Rabb","December 5, 2019"
558,Rated 5 stars out of five stars,Nafiah 19,"Sangat recommended, buah sayur dan produk2nya segar. Pengiriman lancar dan tepat waktu. Terima kasih sayurbox","November 30, 2019"
559,Rated 5 stars out of five stars,Sherly Silvia,beli buah dan sayur segar dengan mudah dan cepat.,"December 5, 2019"
560,Rated 5 stars out of five stars,Aminingrum Aminingrum,mantap bisa pesen buah secara mudah .... segar dan sesuai jadual pengantaran,"December 12, 2019"
561,Rated 5 stars out of five stars,Putri Sukmasari,Lebih enak dilihat karena ada fitur chat nya,"November 29, 2019"
562,Rated 5 stars out of five stars,Rani K,Makasih sudah memudahkan berbelanja sayur dan buah! 🥰,"November 26, 2019"
563,Rated 5 stars out of five stars,Sri Kumalasari Santoso,Puas sekali buahnya seger2 pelayananya ok bgt.,"November 25, 2019"
564,Rated 5 stars out of five stars,Budiyanto Prawira,"Mantap ya, pesennya jauh lebih mudah","November 26, 2019"
565,Rated 5 stars out of five stars,Farra Emilia,Buahnya seger2 alpukat nya oke mantul pokoknya😍😍,"December 17, 2019"
566,Rated 5 stars out of five stars,Joy to the World,Support banget buat hidup sehat,"November 26, 2019"
567,Rated 5 stars out of five stars,Maria Barnomo,Sayur segar. Pengiriman tepat waktu,"November 28, 2019"
568,Rated 5 stars out of five stars,Martin Prasetyo,Bagus sesuai harapan,"December 13, 2019"
569,Rated 5 stars out of five stars,faiqoh nursm,Murah dan fresh semua buah dan sayur2an nya,"November 24, 2019"
570,Rated 5 stars out of five stars,Valiant Billy,Bagus,"November 26, 2019"
571,Rated 5 stars out of five stars,Poppy Sibarani,So helpful,"November 27, 2019"
572,Rated 4 stars out of five stars,Dwina Kardita,Good job,"December 6, 2019"
573,Rated 5 stars out of five stars,Nur Pratiwi,Love,"November 27, 2019"
574,Rated 5 stars out of five stars,rani nur aini,good,"November 29, 2019"
575,Rated 5 stars out of five stars,Ratri Rizki Dewi,nice,"December 2, 2019"
576,Rated 5 stars out of five stars,Roscarlin Fatmawati,"Pesen bahan masak dan makanan sehat jadi lebih mudah walaupun lagi sibuk banget, tinggal tunggu dianterin. Ternyata rata-rata bahan makannya pun hasil panen dari petani lokal. Plus sangat minim pakai plastik. TOP banget, makasih Sayur Box!","January 28, 2020"
577,Rated 1 stars out of five stars,Wuri Handayani,"pelayanan yang sangat2 buruk... saya pesan dari 2 hari lalu, dan di hr a eta 12:00-16:00 sampai sekarang belum sampai jg.. dan respon chat sangat lambat dan saya hanya mendapatkan jawaban yang sama.. , acara saya gagal semua .. harusnya masakan sdh selsai sore.. ini jam segini saya belum mendapatkan...
Full Review","November 10, 2019"
578,Rated 5 stars out of five stars,Fransiska H,Mudah sekali belanja disini. Harganya juga bersaing dg pasar2 modern. Plus ada promo2 CC/gopay jadi makin murah. Lalu yg paling keren ada opsi untuk belanja tanpa plastik. Keep up 👍,"November 23, 2019"
579,Rated 5 stars out of five stars,Nunung Widyowati,Mempermudah memenuhi kebutuhan sayur dan buah segar bagi saya yang begitu sibuk. Jadi tidak perlu repot ke pasar. Sangat membantu sekali... Top aplikasinya,"November 27, 2019"
580,Rated 4 stars out of five stars,Meita Dewi,aplikasi suka error. saat checkout kadang2 produk nya bbrp hilang,"November 4, 2019"
581,Rated 1 stars out of five stars,Riskha Utami,"Kalau klik search baru mau ngetik langsung ketutup otomatis, sudah coba berkali-kali dgn hasil yg sama. Lalu mau klik barang yg diinginkan untuk melihat deskripsi lebih jelas juga langsung ketutup aplikasinya. Update untuk jadi lebih jelek kayanya","October 28, 2019"
582,Rated 5 stars out of five stars,Sonia Rosyadi,"Belanja sayur dan buah jadi lebih mudah apalagi untuk karyawan seperti saya yang waktunya pasti abis di kantor sm di jalan, mau belanja mingguan di supermarket aja mager, lebih enak di sayur box tinggal pencet2 lagsung meluncur..","November 24, 2019"
583,Rated 5 stars out of five stars,Yola Soegiarto,"Pengiriman tepat waktu, barang berkualitas, chat customer service responsive, semoga dipertahankan free deliverynya karena sangat membantu dan menarik, tentunya akan sering2 belanja disini :) Masukan: perbanyak lagi yaa varian produknya.","October 28, 2019"
584,Rated 5 stars out of five stars,Gregoria Cindy,"Suka banget sama sayur box, sayuran dan buahnya seger2, ngga perlu cape2 angkat2 belanjaan buah n sayuran lg kaya biasanya. Sama sayur box tinggal klik klik klik, langsung sampe deh didepan rumah...Makasih banyak sayur box.","November 7, 2019"
585,Rated 5 stars out of five stars,Irfani Irmasanti,"Selalu suka belanja di sayurbox, no more hustle pergi ke pasar atau supermarket lagi yang ujung2nya selalu ada aja yg dibeli selain yg ada di list 😁","November 17, 2019"
586,Rated 5 stars out of five stars,BlackShiya,"Sebagai milenial yang jarang ke pasar ini bagus banget kalo kita sibuk, walaupun kadang jatohnya lebih mahal dibanding ke tukang sayur tapi kualitas lebih unggul imo. Sukses terus ya semoga bisa terus ekspansi dan membantu local farmer!","October 30, 2019"
587,Rated 5 stars out of five stars,tiara maulyna,"Pertama kali order dan puas bangettt! Semua buah dan sayur dalam keadaan segar, packing juga baikk.. Dapat tambahan bonus juga free cherry apel, makasih yaa QC oke 👍🏻","November 19, 2019"
588,Rated 1 stars out of five stars,Ratna Maulidiyah,"Di awal milih pengiriman Jabodetabek. Kirain bisa antar seluruh area Jabodetabek. Sudah milih-milih belanjaan banyak, eh pas checkout baru tahu kecamatan saya gak ada di pilihan. Jadi buang-buang waktu. Harusnya dari awal suruh ngisi alamat dulu. Mengecewakan jadinya kalo udah milih belanjaan terus ...
Full Review","November 18, 2019"
589,Rated 2 stars out of five stars,Ardi Yudistira,Untuk sayur bagus tapi mangga yang dikirim sebagian sudah mau busuk dan jeruk asam. Saya tidak bisa merekomendasikan sayurbox kepada orang lain.,"November 23, 2019"
590,Rated 5 stars out of five stars,Revy Anggriani,"Aplikasi yang sangat membantu dalam memenuhi kebutuhan nutrisi seseorang tanpa harus ke Mal/Supermarket. Aplikasi mudah digunakan, variasi buah dan sayur banyak.","November 12, 2019"
591,Rated 5 stars out of five stars,Ellena Rosmayanti,"jujur, beli buah disini lebih seger + mulus dr pda di warung sayur kompleks. lengkap pula. dan harganya jg ga mahal. 😁","November 21, 2019"
592,Rated 5 stars out of five stars,Sera Aldila,"Simple, easy belum pernah ada problem beli di sayurbox .. aplikasinya juga enteng dan user interface nya juga enak..","November 24, 2019"
593,Rated 1 stars out of five stars,Riyandini Siswi,Pesanan dibatalkan krn area tidak tercover padahal sebelumnya sudah pernah 2x order dan lancar2 aja. Sungguh ku kecewa.,"November 15, 2019"
594,Rated 5 stars out of five stars,Louisa Ruslim,"Sangat membantu ibu2 jaman now yg ga punya waktu keluar belanja, cukup klik aja .. buah2annya pun seger2 👍","December 14, 2019"
595,Rated 5 stars out of five stars,nurani dewi,"terimakasih sayurbox bonusnya ga tanggung2 🍋🍋🍋,, udah mah free ongkir, kualitasnya okebgt, sudah pasti reorder lah yaa, hhehe.. stok sayur & buah sepekan kedepan aamaan.. 😊😊","November 26, 2019"
596,Rated 5 stars out of five stars,Jaya Widya,"Sayurannya fresh banget, tiba sesuai jadwal. GRATIS ONGKIR karena pesan 100 ribu. Terus dapet bonus alpukat sekeranjang. Mantap","November 6, 2019"
597,Rated 5 stars out of five stars,yasmin nurul,"App terbaik untuk belanja sayur Dan buah""an online. Ditambah dengan semua promonya. Sejauh ini belanja disini semuanya selalu Segar.","January 26, 2020"
598,Rated 5 stars out of five stars,maria ulfa,"Pengalaman pertama sedikit galau krn verifikasi pembayaran yg terhambat oleh jaringan, tapi overall memuaskan krn harga barang murah, admin ramah dan respon yg cepat ketika di chat, barang2 mutunya bagus, kemasan ramah lingkungan dan di packing rapih dan bagus serta di antarnya tepat waktu. Terima k...
Full Review","November 8, 2019"
599,Rated 5 stars out of five stars,Fitria Cahyaningrum,"Lengkap, banyak pilihan, dan suka ada promo tiap harinya..yg dikirim juga buahnya dalam kondisi udah mateng, sukses terus..","October 31, 2019"
600,Rated 5 stars out of five stars,Sandi Arsyie,"Aplikasinya mudah digunakan, pengiriman sesuai jadwal, produk segar segar, dan buahnya manis2 no tipu2.. bakal sering belanja dsini kayaknya..","November 2, 2019"
601,Rated 5 stars out of five stars,Desti Tia,"MasyaAllah keren. Ini mah pasar online namanya, memudahkan buat emak2 yg sulit pergi ke pasar karena suatu hal. Harga nya juga sama aja sperti saya blanja di pasar. Free ongkir juga, terimakasih untuk segala kemudahannya. Smoga bisa melebarkan sayap k sumatera krn banyak temen2 saya yg tanya dan ber...
Full Review","November 7, 2019"
602,Rated 5 stars out of five stars,Amanda Apriliani,Aplikasi yang bagus... kualitas buah terjaminn... dan fresh... sangat membantu..dan praktis penggunaannya.. terima kasih aplikasi yang sangat disarankan untuk di download,"November 23, 2019"
603,Rated 4 stars out of five stars,christiovalni massora,keren bgt. Sangat membantu. Tp ada 1 apel pas dibuka busuk di dalam tp dluar cantik,"November 15, 2019"
604,Rated 2 stars out of five stars,Ghina Almira Salsabila,User interface ok tpi aplikasinya sering eror tidak bisa dibuka walaupun sudah restart dn reinstall,"October 16, 2019"
605,Rated 1 stars out of five stars,Wild Flower,"Kecewa banget sama Sayurbox, informasi mengenai barang yg di refund diketahui pas hari H, saya pesen Semangka 2 buah di hari Minggu malam, besoknya temen kost saya pesen juga dengan jadwal pengataran dan jam yang sama di alamat yang sama, Orderan temen saya nyampe duluan dan buah2nya lengkap, ordera...
Full Review","November 19, 2019"
606,Rated 5 stars out of five stars,Tevismart Diary,Mencari sayuran organik mjd lbh mudah. Pastikan sayuran yg dikirim bersih dan bagus ya ;),"November 28, 2019"
607,Rated 5 stars out of five stars,Tari Micheryl,"Sayurbox tdk pernah mengecewakan,produknya slalu fresh Dan pebgiriman slalu tepat waktu,trimakasih sayurbox,sukses trus..","November 4, 2019"
608,Rated 5 stars out of five stars,Tia Yulistiani Muis,"Pertama kali pesan di sayurbox, buah dan sayurnya segar2 sekali. Terimakasih","November 12, 2019"
609,Rated 5 stars out of five stars,Pinky Meutia,"Pengiriman cepat, sayur dan buah sesuai pesanan, segar dan dikemas dengan apik. Bravo","December 13, 2019"
610,Rated 5 stars out of five stars,nurul masriyah,"Sangat membantu buat saya yang berperan double, IRT iyah wanita karir iyah.. 🤭","November 27, 2019"
611,Rated 5 stars out of five stars,Nur Azizah,"Pengirimannya cepat, respon nya juga cepat. Packaging nya rapi, sayur nya lokal dan masih segar juga.","November 11, 2019"
612,Rated 5 stars out of five stars,erry selvina,sangat membantu hemat waktu tanpa harus ke pasar atau ke super market,"December 25, 2019"
613,Rated 5 stars out of five stars,Gelli_ Gett,Aplikasi yg sangat membantu emak2 pas lg males ke pasar,"November 21, 2019"
614,Rated 5 stars out of five stars,Hapsari Simanjuntak,Gk pernah ada masalah dengan app ini. Menggunakannya mudah,"October 29, 2019"
615,Rated 5 stars out of five stars,Riska Erlinda,Very helpfull. Ga usa ke pasar bawa berat2 lagi. Harga nya byk yg promo.,"November 8, 2019"
616,Rated 1 stars out of five stars,Heru Firdaus Erfana,"Kecewa sekali saya sebagai konsumen, saya pesan buah tp tdk dpt dikirim, alasannya kegagalan sistem, pdhl buah tersebut untuk acara di hari h, Hingga mlm tdk ada konfirmasi dari kalian, hingga saya tanya, dan baru kalian jawab kesalahan sistem, Lalu kalian blg untuk kompensasi ny 'tng saja kak, uang...
Full Review","October 24, 2019"
617,Rated 5 stars out of five stars,siti muliati,Sanga membantu utk saya yg jarang ke pasar,"November 15, 2019"
618,Rated 5 stars out of five stars,Arief Yanto,Aplikasi yg sangat membantu untuk hidup sehat,"November 20, 2019"
